token,index,energy,entropy,info_score
##anor,27869,5.4843,9.4391,17.6454
##lland,26087,5.4622,9.4153,17.5688
##lho,28061,5.3147,9.4345,17.3867
##lika,25421,5.0432,9.4183,16.9429
##adan,26335,4.9076,9.4103,16.7148
##stov,29473,4.8264,9.4034,16.5725
##khov,25495,4.7530,9.4671,16.5649
##gano,29451,4.7791,9.4183,16.5219
##oit,28100,4.6712,9.4935,16.4751
##anto,21634,4.6899,9.4701,16.4656
##oku,21940,4.6796,9.4535,16.4196
875,27658,4.9988,9.1584,16.4079
##vb,26493,4.7392,9.3876,16.4031
##coll,26895,4.6198,9.4746,16.3560
##pse,29251,4.6002,9.4894,16.3483
##nem,25832,4.6389,9.4341,16.3182
##elis,29282,4.6640,9.3928,16.2882
820,26667,4.8948,9.1542,16.2402
##eki,26576,4.6016,9.4252,16.2401
##lbert,23373,4.5838,9.4290,16.2166
##eland,25689,4.5676,9.4282,16.1878
##jm,24703,4.5698,9.4193,16.1762
##alla,25425,4.5162,9.4712,16.1739
##uet,23361,4.5515,9.4346,16.1715
##lash,27067,4.5216,9.4615,16.1665
##gart,27378,4.5537,9.4283,16.1645
##hani,23573,4.6050,9.3746,16.1587
##bola,24290,4.5213,9.4530,16.1516
##ieri,21939,4.5145,9.4548,16.1429
329,29567,4.8752,9.1143,16.1391
451,28161,4.8059,9.1611,16.1132
##encies,15266,4.4264,9.5267,16.1122
##litz,24725,4.4877,9.4522,16.0924
##icular,21412,4.4082,9.5229,16.0739
##iste,27870,4.4401,9.4753,16.0492
##sund,25168,4.4560,9.4539,16.0405
##rchy,29389,4.3900,9.5003,16.0037
##sari,22740,4.4118,9.4769,16.0025
980,25195,4.6769,9.2045,15.9827
##anal,27953,4.4025,9.4670,15.9696
##iot,25185,4.3961,9.4690,15.9617
##jad,27875,4.4359,9.4173,15.9438
##olt,27914,4.3848,9.4602,15.9270
##oning,13369,4.3022,9.5349,15.9053
##sell,23836,4.4049,9.4131,15.8828
##gist,24063,4.3217,9.4954,15.8744
##dim,22172,4.3551,9.4569,15.8691
##kong,25460,4.3541,9.4465,15.8498
##uter,19901,4.3168,9.4849,15.8482
##sul,23722,4.3183,9.4757,15.8355
##oper,25918,4.3003,9.4897,15.8266
lucie,28831,4.3646,9.4170,15.8189
##lston,21540,4.3528,9.4285,15.8173
##igraphy,23132,4.2505,9.5365,15.8146
amman,25703,4.3717,9.4057,15.8122
##ngo,16656,4.3222,9.4544,15.8066
##icon,28524,4.2959,9.4705,15.7867
##hiff,25798,4.3242,9.4319,15.7727
##pani,26569,4.2911,9.4654,15.7696
##hema,28433,4.2826,9.4708,15.7634
##aran,20486,4.2846,9.4629,15.7538
417,27519,4.6658,9.0808,15.7502
##bate,20179,4.2950,9.4420,15.7377
##mble,19661,4.2711,9.4622,15.7283
##cter,21162,4.2474,9.4848,15.7232
##ucible,21104,4.2410,9.4806,15.7048
##jic,25008,4.2665,9.4409,15.6848
##bino,21891,4.2380,9.4708,15.6830
##ulio,24825,4.2430,9.4609,15.6758
##otic,20214,4.2203,9.4803,15.6667
268,25143,4.6163,9.0783,15.6662
##egan,20307,4.2442,9.4436,15.6492
##erik,27350,4.1805,9.5104,15.6437
##vitt,28656,4.2663,9.3979,15.6131
##kshi,27488,4.2204,9.4455,15.6094
##ioned,19798,4.1554,9.5144,15.6041
##erry,19826,4.2006,9.4590,15.5958
##nah,15272,4.1653,9.4947,15.5900
##rka,22379,4.2475,9.4040,15.5895
##orus,21694,4.1792,9.4772,15.5867
##vati,20203,4.1738,9.4804,15.5821
##mme,20058,4.2186,9.4262,15.5744
