token,index,energy,entropy,info_score
##anor,27869,9.1614,9.3193,21.6077
##lland,26087,8.5511,9.3342,21.0642
##lika,25421,8.1299,9.3143,20.5992
##lho,28061,7.8114,9.3784,20.4078
##adan,26335,7.9659,9.2969,20.3921
##gano,29451,7.8129,9.3377,20.3208
##oku,21940,7.6785,9.3478,20.1992
##hani,23573,7.7888,9.2833,20.1770
##eki,26576,7.6424,9.3382,20.1395
##alla,25425,7.5192,9.3657,20.0644
##pse,29251,7.4573,9.3766,20.0193
##oit,28100,7.3903,9.4072,20.0098
##vb,26493,7.4993,9.3271,19.9598
##elis,29282,7.5046,9.3079,19.9246
##anto,21634,7.3993,9.3581,19.9155
##eland,25689,7.4418,9.3328,19.9087
##khov,25495,7.3512,9.3591,19.8637
##jad,27875,7.3151,9.3354,19.7732
##stov,29473,7.4183,9.2797,19.7696
##lash,27067,7.2885,9.3405,19.7540
##olt,27914,7.1665,9.3822,19.7031
##coll,26895,7.1472,9.3803,19.6769
##kshi,27488,7.1996,9.3467,19.6663
##ieri,21939,7.1781,9.3461,19.6405
##lbert,23373,7.2129,9.3264,19.6387
##uet,23361,7.1331,9.3624,19.6232
##jm,24703,7.1467,9.3444,19.6008
##nem,25832,7.1110,9.3364,19.5431
##gart,27378,7.0085,9.3755,19.5058
##rka,22379,7.1749,9.2831,19.5044
##vitt,28656,7.0438,9.3159,19.4227
amman,25703,7.0495,9.3000,19.3962
##bola,24290,6.9402,9.3566,19.3862
##litz,24725,6.9424,9.3508,19.3769
##icon,28524,6.8474,9.3887,19.3424
##dim,22172,6.8289,9.3756,19.2933
##iste,27870,6.7344,9.4258,19.2821
##sul,23722,6.7260,9.3917,19.2022
##mble,19661,6.7952,9.3379,19.1755
##sari,22740,6.6846,9.4022,19.1731
##kti,22462,6.7533,9.3551,19.1602
##tura,27431,6.8052,9.3241,19.1591
##sund,25168,6.6890,9.3777,19.1285
##ngo,16656,6.6738,9.3753,19.1052
##pani,26569,6.6736,9.3692,19.0924
##jic,25008,6.7475,9.3232,19.0880
##dara,25329,6.6580,9.3651,19.0649
##mme,20058,6.6911,9.3450,19.0644
##kong,25460,6.6834,9.3465,19.0582
lucie,28831,6.7151,9.3150,19.0322
##lley,25105,6.7014,9.3149,19.0154
##rchy,29389,6.5279,9.4043,18.9836
##kker,23793,6.6365,9.3175,18.9418
##sell,23836,6.5606,9.3476,18.9098
##hre,28362,6.5483,9.3485,18.8963
##bino,21891,6.5218,9.3570,18.8807
##lston,21540,6.5618,9.3323,18.8803
##ckle,19250,6.4837,9.3804,18.8802
##hiff,25798,6.5462,9.3353,18.8669
##you,29337,6.5206,9.3501,18.8651
florian,29517,6.6842,9.2511,18.8646
##lma,19145,6.5062,9.3503,18.8477
820,26667,6.9912,9.0654,18.8409
##gist,24063,6.3592,9.4284,18.8186
##pta,22799,6.5389,9.3152,18.8175
##brick,25646,6.4387,9.3769,18.8165
##ulio,24825,6.3906,9.4043,18.8105
451,28161,6.8147,9.1287,18.7686
##bate,20179,6.4053,9.3740,18.7686
##erry,19826,6.3787,9.3845,18.7559
##anal,27953,6.3730,9.3830,18.7456
##hema,28433,6.3356,9.3975,18.7267
##wai,21547,6.3746,9.3571,18.6959
##aran,20486,6.2616,9.4255,18.6871
##iji,27821,6.4392,9.3101,18.6832
875,27658,6.7158,9.1352,18.6657
##rse,22573,6.3228,9.3734,18.6624
##uter,19901,6.2939,9.3900,18.6583
##ssler,23385,6.3886,9.3276,18.6546
##uchi,15217,6.2812,9.3906,18.6430
##iot,25185,6.2713,9.3946,18.6383
##cao,20808,6.2690,9.3924,18.6309
##ood,17139,6.2749,9.3824,18.6187
##xin,20303,6.3280,9.3327,18.5880
##egan,20307,6.2623,9.3704,18.5786
##cius,25393,6.2400,9.3811,18.5710
##otic,20214,6.1967,9.4033,18.5585
329,29567,6.7092,9.0612,18.5067
##scan,29378,6.2095,9.3578,18.4855
##amo,22591,6.2053,9.3566,18.4775
##uda,14066,6.1824,9.3714,18.4770
##rsa,22381,6.1671,9.3780,18.4700
##ining,24002,6.1669,9.3782,18.4700
##nah,15272,6.1723,9.3697,18.4606
boca,22765,6.1817,9.3608,18.4553
980,25195,6.5331,9.1342,18.4448
##abia,29039,6.0634,9.4322,18.4392
##mage,26860,6.0937,9.3898,18.3965
##ffe,16020,6.0277,9.4014,18.3315
##rva,19146,6.0679,9.3667,18.3171
##oper,25918,6.0133,9.4037,18.3166
##lding,24573,6.0659,9.3669,18.3149
##church,22743,5.9992,9.4038,18.2979
##kor,21815,6.0683,9.3354,18.2565
##bies,20536,5.9258,9.4315,18.2523
##oning,13369,5.9190,9.4344,18.2487
##icular,21412,5.9099,9.4331,18.2337
##erik,27350,5.9021,9.4377,18.2320
##lford,23211,6.0437,9.3247,18.2030
##rien,23144,5.9300,9.3891,18.1760
417,27519,6.4220,9.0648,18.1700
##kat,24498,5.8891,9.4126,18.1658
##toy,29578,5.9078,9.3953,18.1578
242,22431,6.3005,9.1324,18.1546
##bis,18477,5.9277,9.3724,18.1407
##orus,21694,5.8865,9.3999,18.1376
##sos,17063,5.9018,9.3769,18.1140
##hil,19466,5.8915,9.3796,18.1054
##amine,19915,5.8759,9.3897,18.1034
bangs,28490,5.9387,9.3276,18.0687
##bilis,27965,5.8240,9.4064,18.0645
##uw,25974,5.9030,9.3492,18.0622
##lund,18028,5.8613,9.3752,18.0557
##yme,25219,5.8464,9.3800,18.0446
##tad,17713,5.8077,9.4011,18.0317
##vity,24872,5.7670,9.4288,18.0284
gael,28151,5.8190,9.3885,18.0233
##ovo,16059,5.7897,9.3929,17.9913
##encies,15266,5.6646,9.4846,17.9904
##mere,13759,5.7647,9.4023,17.9745
268,25143,6.3556,8.9926,17.9444
##ettes,26592,5.8223,9.3337,17.9226
##dhar,25632,5.7285,9.4009,17.9214
donetsk,29151,5.8133,9.3309,17.9050
bosch,25936,5.8045,9.3327,17.8963
323,25392,6.1527,9.0918,17.8882
273,25371,6.3242,8.9827,17.8862
##hiro,18334,5.8273,9.2970,17.8589
##vati,20203,5.6571,9.4205,17.8582
##venor,26806,5.6699,9.4030,17.8431
##uts,16446,5.7102,9.3726,17.8419
liechtenstein,26500,5.8177,9.2916,17.8355
##oop,18589,5.6714,9.3946,17.8293
sino,19432,5.7747,9.3190,17.8291
317,26628,6.2605,8.9905,17.8233
##vio,25500,5.6985,9.3634,17.8081
##nl,20554,5.6665,9.3797,17.7941
##west,19650,5.6190,9.4022,17.7696
##lent,16136,5.5943,9.4204,17.7687
##pes,10374,5.6179,9.3986,17.7612
tung,27079,5.6864,9.3332,17.7337
##sdale,15145,5.5361,9.4352,17.7131
##bourg,20431,5.5651,9.4130,17.7131
ю,1209,5.6860,9.3110,17.6912
##wer,13777,5.5610,9.4036,17.6895
##rned,21119,5.5125,9.4326,17.6740
##ocks,25384,5.5958,9.3689,17.6738
248,24568,6.1049,9.0089,17.6645
##spar,27694,5.5063,9.4322,17.6644
unsigned,27121,5.6112,9.3428,17.6463
##ight,18743,5.6055,9.3445,17.6414
heartland,27399,5.6411,9.3166,17.6389
##rite,17625,5.5044,9.4140,17.6275
mx,25630,5.5521,9.3655,17.6051
##upt,29441,5.4102,9.4745,17.6026
chico,22136,5.5975,9.3221,17.5879
##ucible,21104,5.4628,9.4242,17.5861
##tec,26557,5.4517,9.4314,17.5834
richer,26108,5.5822,9.3300,17.5812
##tology,23479,5.4726,9.4128,17.5790
##chenko,25872,5.4792,9.4062,17.5764
##ulton,22145,5.5253,9.3698,17.5747
##nish,24014,5.4891,9.3902,17.5609
##iano,15668,5.4561,9.4060,17.5424
##liga,14715,5.3775,9.4633,17.5333
##cter,21162,5.3668,9.4713,17.5324
cola,15270,5.5040,9.3599,17.5255
197,19975,5.9692,9.0254,17.5229
##mura,16069,5.4657,9.3827,17.5129
regis,20588,5.4038,9.4267,17.5045
##mail,21397,5.3803,9.4109,17.4404
##ratic,23671,5.3847,9.4064,17.4387
##kas,13716,5.4838,9.3287,17.4382
##aire,14737,5.3801,9.4038,17.4270
##see,19763,5.3140,9.4535,17.4207
##inian,15830,5.3794,9.3928,17.4055
##ude,12672,5.3702,9.3995,17.4043
##combe,14149,5.3808,9.3878,17.3983
##ioned,19798,5.3398,9.4184,17.3944
##nto,13663,5.3614,9.3997,17.3917
volta,26089,5.3073,9.4431,17.3914
##uis,27020,5.3474,9.4084,17.3872
##ined,21280,5.3082,9.4393,17.3857
kern,22762,5.4380,9.3258,17.3667
##sd,16150,5.3506,9.3937,17.3647
magdalena,23984,5.4971,9.2770,17.3606
##thed,23816,5.2833,9.4401,17.3499
##isms,22556,5.3530,9.3812,17.3452
verve,29230,5.4222,9.3237,17.3398
##dication,25027,5.3154,9.4074,17.3378
