token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,db4,0.10,0.9998,34.446,0.0197,0.000,0.0002
2,db4,0.20,0.9986,25.686,0.0540,0.000,0.0014
2,db4,0.30,0.9950,19.996,0.1039,0.000,0.0050
2,db4,0.40,0.9888,16.504,0.1554,0.000,0.0112
2,db4,0.50,0.9765,13.332,0.2238,0.000,0.0235
##s,db4,0.10,0.9999,35.398,0.0189,0.000,0.0001
##s,db4,0.20,0.9988,26.195,0.0546,0.000,0.0012
##s,db4,0.30,0.9957,20.646,0.1034,0.000,0.0043
##s,db4,0.40,0.9897,16.888,0.1594,0.000,0.0103
##s,db4,0.50,0.9796,13.943,0.2237,0.000,0.0204
happy,db4,0.10,0.9998,35.094,0.0211,0.000,0.0002
happy,db4,0.20,0.9987,26.015,0.0600,0.000,0.0013
happy,db4,0.30,0.9955,20.493,0.1134,0.000,0.0045
happy,db4,0.40,0.9890,16.606,0.1774,0.000,0.0110
happy,db4,0.50,0.9767,13.375,0.2574,0.000,0.0233
million,db4,0.10,0.9998,33.463,0.0267,0.000,0.0002
million,db4,0.20,0.9982,24.522,0.0746,0.000,0.0018
million,db4,0.30,0.9944,19.510,0.1329,0.000,0.0056
million,db4,0.40,0.9877,16.107,0.1966,0.000,0.0123
million,db4,0.50,0.9753,13.123,0.2772,0.000,0.0247
[SEP],db4,0.10,0.9999,36.989,0.0171,0.000,0.0001
[SEP],db4,0.20,0.9992,27.810,0.0491,0.000,0.0008
[SEP],db4,0.30,0.9971,22.312,0.0925,0.000,0.0029
[SEP],db4,0.40,0.9928,18.415,0.1448,0.000,0.0072
[SEP],db4,0.50,0.9863,15.661,0.1989,0.000,0.0137
[PAD],db4,0.10,0.9999,39.354,0.0154,0.000,0.0001
[PAD],db4,0.20,0.9995,29.804,0.0463,0.000,0.0005
[PAD],db4,0.30,0.9978,23.522,0.0954,0.000,0.0022
[PAD],db4,0.40,0.9947,19.760,0.1470,0.000,0.0053
[PAD],db4,0.50,0.9891,16.622,0.2110,0.000,0.0109
is,db4,0.10,0.9998,35.105,0.0169,0.000,0.0002
is,db4,0.20,0.9988,26.212,0.0471,0.000,0.0012
is,db4,0.30,0.9954,20.325,0.0927,0.000,0.0046
is,db4,0.40,0.9891,16.639,0.1417,0.000,0.0109
is,db4,0.50,0.9785,13.713,0.1985,0.000,0.0215
queen,db4,0.10,0.9998,33.809,0.0251,0.000,0.0002
queen,db4,0.20,0.9980,24.040,0.0773,0.000,0.0020
queen,db4,0.30,0.9939,19.153,0.1357,0.000,0.0061
queen,db4,0.40,0.9866,15.736,0.2011,0.000,0.0134
queen,db4,0.50,0.9706,12.377,0.2961,0.000,0.0294
?,db4,0.10,0.9998,34.527,0.0182,0.000,0.0002
?,db4,0.20,0.9983,24.706,0.0564,0.000,0.0017
?,db4,0.30,0.9937,19.020,0.1085,0.000,0.0063
?,db4,0.40,0.9864,15.676,0.1594,0.000,0.0136
?,db4,0.50,0.9727,12.686,0.2249,0.000,0.0273
1,db4,0.10,0.9998,34.489,0.0195,0.000,0.0002
1,db4,0.20,0.9984,24.980,0.0583,0.000,0.0016
1,db4,0.30,0.9951,20.137,0.1018,0.000,0.0049
1,db4,0.40,0.9881,16.262,0.1591,0.000,0.0119
1,db4,0.50,0.9758,13.196,0.2264,0.000,0.0242
sad,db4,0.10,0.9998,34.255,0.0287,0.000,0.0002
