token,index,energy,entropy,info_score
##anor,27869,5.4843,9.4958,17.7514
##lland,26087,5.4622,9.4666,17.6643
##lho,28061,5.3147,9.4771,17.4651
##lika,25421,5.0432,9.4522,17.0038
##adan,26335,4.9076,9.4627,16.8080
875,27658,4.9988,9.3188,16.6952
##gano,29451,4.7791,9.4943,16.6553
##khov,25495,4.7530,9.5179,16.6537
##stov,29473,4.8264,9.4304,16.6201
##vb,26493,4.7392,9.4789,16.5627
##oit,28100,4.6712,9.5228,16.5259
##anto,21634,4.6899,9.5019,16.5209
820,26667,4.8948,9.3075,16.5121
##elis,29282,4.6640,9.5053,16.4834
##oku,21940,4.6796,9.4808,16.4671
##coll,26895,4.6198,9.5102,16.4174
451,28161,4.8059,9.3279,16.4066
329,29567,4.8752,9.2634,16.4031
##pse,29251,4.6002,9.4995,16.3658
##nem,25832,4.6389,9.4546,16.3535
##eland,25689,4.5676,9.5045,16.3188
##eki,26576,4.6016,9.4635,16.3062
##lash,27067,4.5216,9.5200,16.2666
##lbert,23373,4.5838,9.4571,16.2650
##jm,24703,4.5698,9.4706,16.2644
##hani,23573,4.6050,9.4325,16.2585
##uet,23361,4.5515,9.4841,16.2564
##bola,24290,4.5213,9.5101,16.2491
980,25195,4.6769,9.3394,16.2170
##gart,27378,4.5537,9.4563,16.2124
##alla,25425,4.5162,9.4892,16.2046
##ieri,21939,4.5145,9.4641,16.1588
##sund,25168,4.4560,9.5080,16.1323
##litz,24725,4.4877,9.4650,16.1141
##iste,27870,4.4401,9.5124,16.1120
##encies,15266,4.4264,9.5191,16.0994
##jad,27875,4.4359,9.4983,16.0810
417,27519,4.6658,9.2610,16.0627
##icular,21412,4.4082,9.5160,16.0623
##anal,27953,4.4025,9.5110,16.0437
##rchy,29389,4.3900,9.5146,16.0276
##sari,22740,4.4118,9.4903,16.0252
##iot,25185,4.3961,9.4837,15.9866
##sell,23836,4.4049,9.4743,15.9861
268,25143,4.6163,9.2606,15.9808
##olt,27914,4.3848,9.4754,15.9525
##kong,25460,4.3541,9.5055,15.9488
##gist,24063,4.3217,9.5272,15.9274
amman,25703,4.3717,9.4741,15.9272
lucie,28831,4.3646,9.4771,15.9199
##oning,13369,4.3022,9.5381,15.9107
##lston,21540,4.3528,9.4716,15.8897
##uter,19901,4.3168,9.5026,15.8776
##sul,23722,4.3183,9.4964,15.8700
##ngo,16656,4.3222,9.4922,15.8698
##hiff,25798,4.3242,9.4835,15.8589
##dim,22172,4.3551,9.4498,15.8573
##bate,20179,4.2950,9.5024,15.8383
##oper,25918,4.3003,9.4967,15.8383
##pani,26569,4.2911,9.4968,15.8219
##icon,28524,4.2959,9.4833,15.8082
##aran,20486,4.2846,9.4920,15.8022
##mble,19661,4.2711,9.5038,15.7975
##hema,28433,4.2826,9.4869,15.7902
##igraphy,23132,4.2505,9.5187,15.7850
##jic,25008,4.2665,9.4922,15.7700
##bino,21891,4.2380,9.5186,15.7623
##cter,21162,4.2474,9.5003,15.7489
##vitt,28656,4.2663,9.4732,15.7382
##otic,20214,4.2203,9.5195,15.7315
317,26628,4.5045,9.2182,15.7222
##rka,22379,4.2475,9.4808,15.7169
##ucible,21104,4.2410,9.4850,15.7121
##ulio,24825,4.2430,9.4787,15.7053
##egan,20307,4.2442,9.4767,15.7039
##erik,27350,4.1805,9.5268,15.6707
##xin,20303,4.2116,9.4897,15.6663
##mme,20058,4.2186,9.4813,15.6654
##erry,19826,4.2006,9.4925,15.6511
##lma,19145,4.1925,9.4935,15.6378
##kshi,27488,4.2204,9.4621,15.6368
##brick,25646,4.1877,9.4956,15.6325
248,24568,4.4068,9.2609,15.6292
##vati,20203,4.1738,9.5087,15.6287
##ioned,19798,4.1554,9.5194,15.6122
242,22431,4.3379,9.3125,15.5969
##orus,21694,4.1792,9.4806,15.5922
##nah,15272,4.1653,9.4891,15.5808
##hre,28362,4.1761,9.4731,15.5744
273,25371,4.3982,9.2349,15.5706
323,25392,4.3634,9.2689,15.5681
##pta,22799,4.1649,9.4789,15.5633
##tura,27431,4.1741,9.4668,15.5603
##ssler,23385,4.1637,9.4773,15.5585
##lley,25105,4.1704,9.4637,15.5484
##cao,20808,4.1477,9.4872,15.5452
##cius,25393,4.1339,9.5021,15.5442
##abia,29039,4.1297,9.5047,15.5407
##vity,24872,4.1525,9.4777,15.5385
##rsa,22381,4.1128,9.5076,15.5140
##lding,24573,4.1167,9.4991,15.5075
##ratic,23671,4.1213,9.4881,15.4979
##tology,23479,4.1108,9.4995,15.4970
##uda,14066,4.1379,9.4628,15.4872
##amo,22591,4.1282,9.4612,15.4668
##jord,24876,4.0791,9.5128,15.4597
##kti,22462,4.0977,9.4851,15.4492
##you,29337,4.0702,9.5147,15.4461
ю,1209,4.1132,9.4607,15.4382
##wai,21547,4.0845,9.4928,15.4371
##ood,17139,4.0623,9.5087,15.4215
##dara,25329,4.0868,9.4746,15.4118
##ckle,19250,4.0495,9.5171,15.4110
197,19975,4.2814,9.2473,15.3894
##venor,26806,4.0482,9.4815,15.3508
##church,22743,4.0392,9.4913,15.3499
##rse,22573,4.0429,9.4837,15.3445
##inian,15830,4.0009,9.5266,15.3343
##tec,26557,4.0132,9.5121,15.3342
##ining,24002,4.0551,9.4538,15.3189
##dication,25027,3.9929,9.5238,15.3145
##upt,29441,4.0019,9.5047,15.3008
##mage,26860,3.9777,9.5295,15.2945
##scan,29378,4.0347,9.4610,15.2924
##ginal,24965,3.9537,9.5548,15.2889
##sos,17063,4.0058,9.4908,15.2859
##uchi,15217,4.0268,9.4606,15.2769
##ovo,16059,3.9857,9.5002,15.2626
gael,28151,3.9703,9.5121,15.2525
##chenko,25872,3.9541,9.5209,15.2355
##mere,13759,3.9829,9.4833,15.2303
##ffe,16020,3.9481,9.5220,15.2256
##amine,19915,3.9710,9.4937,15.2242
##rva,19146,3.9876,9.4702,15.2183
##ested,17944,3.9230,9.5452,15.2143
##tad,17713,3.9675,9.4869,15.2068
knesset,27899,3.9495,9.5064,15.2034
##bilis,27965,3.9372,9.5158,15.1948
##bourg,20431,3.9344,9.5150,15.1882
##sdale,15145,3.9462,9.4987,15.1847
iata,9833,3.9204,9.5281,15.1820
##uw,25974,3.9641,9.4716,15.1758
##lent,16136,3.9297,9.5086,15.1688
##itung,28813,3.9019,9.5378,15.1616
##kker,23793,3.9713,9.4519,15.1578
##kor,21815,3.9691,9.4485,15.1482
##yme,25219,3.9230,9.4960,15.1358
##ettes,26592,3.8972,9.5093,15.1070
##ight,18743,3.8977,9.4981,15.0902
##jhl,29001,3.8972,9.4968,15.0872
##otype,26305,3.8803,9.5174,15.0869
##kat,24498,3.8759,9.5205,15.0833
##bies,20536,3.8581,9.5284,15.0611
boca,22765,3.8873,9.4886,15.0550
florian,29517,3.9415,9.4221,15.0534
##spar,27694,3.8424,9.5416,15.0510
##ude,12672,3.8941,9.4704,15.0394
##rcle,21769,3.8420,9.5317,15.0346
##uis,27020,3.8558,9.5073,15.0232
##pose,20688,3.8485,9.5162,15.0229
##hil,19466,3.8763,9.4788,15.0182
##ined,21280,3.8210,9.5470,15.0173
##nl,20554,3.8649,9.4891,15.0122
##iji,27821,3.8835,9.4573,14.9979
##weiler,22384,3.8491,9.4938,14.9888
##liga,14715,3.8272,9.5110,14.9728
##lund,18028,3.8554,9.4754,14.9719
##ctuated,25638,3.8335,9.5013,14.9700
##pes,10374,3.8006,9.5253,14.9426
tung,27079,3.7960,9.5253,14.9337
##west,19650,3.8491,9.4588,14.9336
volta,26089,3.8117,9.5033,14.9301
##uts,16446,3.8178,9.4942,14.9280
##basket,25351,3.7857,9.5299,14.9203
##bis,18477,3.8153,9.4883,14.9136
##lford,23211,3.8275,9.4716,14.9115
##gard,13444,3.7921,9.5100,14.9019
donetsk,29151,3.7966,9.4909,14.8809
##vio,25500,3.7854,9.4939,14.8633
##dhar,25632,3.7799,9.4941,14.8528
##itaire,29422,3.7671,9.5063,14.8464
bosch,25936,3.7735,9.4958,14.8427
##rien,23144,3.7408,9.5337,14.8364
##force,14821,3.7431,9.5237,14.8254
##thed,23816,3.7655,9.4933,14.8228
##ounded,26240,3.7651,9.4888,14.8151
##aire,14737,3.7378,9.5235,14.8145
turing,28639,3.7458,9.5123,14.8132
##ے,29846,3.7460,9.5042,14.8008
##nosis,27109,3.7323,9.5153,14.7906
##uded,13936,3.7210,9.5115,14.7621
##rocity,21735,3.7230,9.5072,14.7594
##nish,24014,3.7116,9.5204,14.7568
antilles,27695,3.7018,9.5131,14.7257
##ctor,16761,3.7171,9.4915,14.7232
##nto,13663,3.7100,9.4988,14.7202
##rned,21119,3.6877,9.5256,14.7163
215,17405,3.8356,9.3277,14.7006
sino,19432,3.7321,9.4478,14.6854
##glers,25555,3.6911,9.4997,14.6832
