token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,haar,0.10,0.9999,35.465,0.0169,0.000,0.0001
2,haar,0.20,0.9988,26.061,0.0499,0.000,0.0012
2,haar,0.30,0.9955,20.427,0.0954,0.000,0.0045
2,haar,0.40,0.9880,16.216,0.1549,0.000,0.0120
2,haar,0.50,0.9757,13.188,0.2195,0.000,0.0243
##s,haar,0.10,0.9998,34.948,0.0183,0.000,0.0002
##s,haar,0.20,0.9986,25.499,0.0545,0.000,0.0014
##s,haar,0.30,0.9954,20.376,0.0982,0.000,0.0046
##s,haar,0.40,0.9887,16.482,0.1538,0.000,0.0113
##s,haar,0.50,0.9744,12.961,0.2306,0.000,0.0256
happy,haar,0.10,0.9999,36.045,0.0164,0.000,0.0001
happy,haar,0.20,0.9987,25.897,0.0528,0.000,0.0013
happy,haar,0.30,0.9952,20.186,0.1020,0.000,0.0048
happy,haar,0.40,0.9887,16.465,0.1565,0.000,0.0113
happy,haar,0.50,0.9767,13.375,0.2234,0.000,0.0233
million,haar,0.10,0.9997,32.411,0.0285,0.000,0.0003
million,haar,0.20,0.9979,23.855,0.0763,0.000,0.0021
million,haar,0.30,0.9935,18.851,0.1358,0.000,0.0065
million,haar,0.40,0.9841,15.010,0.2113,0.000,0.0159
million,haar,0.50,0.9696,12.223,0.2913,0.000,0.0304
[SEP],haar,0.10,0.9999,36.192,0.0119,0.053,0.0001
[SEP],haar,0.20,0.9989,26.596,0.0358,0.053,0.0011
[SEP],haar,0.30,0.9963,21.367,0.0654,0.053,0.0037
[SEP],haar,0.40,0.9904,17.195,0.1058,0.000,0.0096
[SEP],haar,0.50,0.9811,14.259,0.1483,0.053,0.0189
[PAD],haar,0.10,0.9999,37.209,0.0160,0.000,0.0001
[PAD],haar,0.20,0.9993,28.361,0.0443,0.000,0.0007
[PAD],haar,0.30,0.9976,23.239,0.0799,0.000,0.0024
[PAD],haar,0.40,0.9945,19.589,0.1217,0.000,0.0055
[PAD],haar,0.50,0.9882,16.282,0.1781,0.000,0.0118
is,haar,0.10,0.9998,34.578,0.0163,0.000,0.0002
is,haar,0.20,0.9982,24.399,0.0525,0.000,0.0018
is,haar,0.30,0.9942,19.376,0.0937,0.000,0.0058
is,haar,0.40,0.9863,15.639,0.1440,0.000,0.0137
is,haar,0.50,0.9719,12.568,0.2051,0.000,0.0281
queen,haar,0.10,0.9997,32.700,0.0254,0.000,0.0003
queen,haar,0.20,0.9984,25.050,0.0613,0.000,0.0016
queen,haar,0.30,0.9944,19.527,0.1157,0.000,0.0056
queen,haar,0.40,0.9857,15.480,0.1844,0.000,0.0143
queen,haar,0.50,0.9710,12.431,0.2620,0.000,0.0290
?,haar,0.10,0.9998,34.240,0.0174,0.000,0.0002
?,haar,0.20,0.9984,25.078,0.0501,0.000,0.0016
?,haar,0.30,0.9946,19.689,0.0931,0.000,0.0054
?,haar,0.40,0.9871,15.912,0.1439,0.000,0.0129
?,haar,0.50,0.9743,12.951,0.2023,0.053,0.0257
1,haar,0.10,0.9998,33.404,0.0210,0.000,0.0002
1,haar,0.20,0.9981,24.260,0.0602,0.000,0.0019
1,haar,0.30,0.9939,19.185,0.1080,0.000,0.0061
1,haar,0.40,0.9865,15.717,0.1610,0.000,0.0135
1,haar,0.50,0.9726,12.673,0.2285,0.000,0.0274
sad,haar,0.10,0.9999,35.368,0.0205,0.000,0.0001
sad,haar,0.20,0.9986,25.508,0.0639,0.000,0.0014
sad,haar,0.30,0.9950,19.969,0.1210,0.000,0.0050
sad,haar,0.40,0.9877,16.131,0.1882,0.000,0.0123
sad,haar,0.50,0.9759,13.229,0.2629,0.000,0.0241
",",haar,0.10,0.9998,35.219,0.0146,0.000,0.0002
",",haar,0.20,0.9989,26.463,0.0401,0.000,0.0011
",",haar,0.30,0.9960,20.936,0.0757,0.000,0.0040
",",haar,0.40,0.9899,16.968,0.1196,0.000,0.0101
",",haar,0.50,0.9786,13.722,0.1737,0.000,0.0214
100,haar,0.10,0.9999,35.829,0.0183,0.053,0.0001
100,haar,0.20,0.9988,26.325,0.0545,0.053,0.0012
100,haar,0.30,0.9959,20.917,0.1016,0.053,0.0041
100,haar,0.40,0.9900,17.022,0.1591,0.053,0.0100
100,haar,0.50,0.9796,13.943,0.2268,0.053,0.0204
thousand,haar,0.10,0.9999,35.992,0.0191,0.000,0.0001
thousand,haar,0.20,0.9986,25.433,0.0643,0.000,0.0014
thousand,haar,0.30,0.9950,20.004,0.1202,0.000,0.0050
thousand,haar,0.40,0.9878,16.166,0.1869,0.000,0.0122
thousand,haar,0.50,0.9735,12.813,0.2750,0.000,0.0265
man,haar,0.10,0.9998,33.992,0.0202,0.000,0.0002
man,haar,0.20,0.9986,25.591,0.0532,0.000,0.0014
man,haar,0.30,0.9953,20.284,0.0980,0.000,0.0047
man,haar,0.40,0.9882,16.295,0.1550,0.000,0.0118
man,haar,0.50,0.9745,12.975,0.2272,0.000,0.0255
city,haar,0.10,0.9998,33.122,0.0216,0.000,0.0002
city,haar,0.20,0.9983,24.570,0.0578,0.000,0.0017
city,haar,0.30,0.9935,18.848,0.1117,0.000,0.0065
city,haar,0.40,0.9843,15.057,0.1728,0.000,0.0157
city,haar,0.50,0.9681,12.015,0.2452,0.000,0.0319
read,haar,0.10,0.9998,34.897,0.0215,0.000,0.0002
read,haar,0.20,0.9986,25.517,0.0633,0.000,0.0014
read,haar,0.30,0.9952,20.205,0.1166,0.000,0.0048
read,haar,0.40,0.9870,15.877,0.1919,0.000,0.0130
read,haar,0.50,0.9732,12.764,0.2746,0.000,0.0268
the,haar,0.10,0.9999,36.155,0.0128,0.000,0.0001
