token,wavelet,ratio,cosine,snr_db,drift,neighbor_preservation,neighbor_drift
2,haar,0.10,0.9998,33.959,0.0571,0.000,0.0002
2,haar,0.20,0.9985,25.301,0.1548,0.000,0.0015
2,haar,0.30,0.9944,19.546,0.3003,0.000,0.0056
2,haar,0.40,0.9850,15.253,0.4922,0.000,0.0150
2,haar,0.50,0.9683,12.046,0.7121,0.000,0.0317
happy,haar,0.10,0.9998,34.805,0.0729,0.000,0.0002
happy,haar,0.20,0.9983,24.587,0.2364,0.000,0.0017
happy,haar,0.30,0.9941,19.308,0.4341,0.000,0.0059
happy,haar,0.40,0.9861,15.598,0.6655,0.000,0.0139
happy,haar,0.50,0.9704,12.345,0.9678,0.000,0.0296
million,haar,0.10,0.9998,33.980,0.0774,0.000,0.0002
million,haar,0.20,0.9983,24.798,0.2228,0.000,0.0017
million,haar,0.30,0.9934,18.790,0.4450,0.000,0.0066
million,haar,0.40,0.9825,14.597,0.7211,0.000,0.0175
million,haar,0.50,0.9642,11.527,1.0269,0.000,0.0358
is,haar,0.10,0.9997,31.713,0.0895,0.053,0.0003
is,haar,0.20,0.9975,23.042,0.2430,0.053,0.0025
is,haar,0.30,0.9923,18.141,0.4272,0.053,0.0077
is,haar,0.40,0.9806,14.146,0.6767,0.053,0.0194
is,haar,0.50,0.9620,11.280,0.9413,0.053,0.0380
?,haar,0.10,0.9998,33.610,0.0656,0.000,0.0002
?,haar,0.20,0.9984,25.046,0.1758,0.000,0.0016
?,haar,0.30,0.9942,19.344,0.3389,0.000,0.0058
?,haar,0.40,0.9866,15.744,0.5129,0.000,0.0134
?,haar,0.50,0.9723,12.633,0.7339,0.000,0.0277
1,haar,0.10,0.9997,32.987,0.0648,0.000,0.0003
1,haar,0.20,0.9980,23.915,0.1840,0.000,0.0020
1,haar,0.30,0.9931,18.639,0.3379,0.000,0.0069
1,haar,0.40,0.9836,14.884,0.5206,0.000,0.0164
1,haar,0.50,0.9673,11.912,0.7329,0.000,0.0327
",",haar,0.10,0.9999,39.581,0.0323,0.000,0.0001
",",haar,0.20,0.9994,29.190,0.1068,0.000,0.0006
",",haar,0.30,0.9978,23.495,0.2058,0.000,0.0022
",",haar,0.40,0.9939,19.120,0.3406,0.000,0.0061
",",haar,0.50,0.9872,15.953,0.4904,0.000,0.0128
100,haar,0.10,0.9997,32.611,0.0735,0.053,0.0003
100,haar,0.20,0.9979,23.798,0.2027,0.053,0.0021
100,haar,0.30,0.9925,18.277,0.3827,0.053,0.0075
100,haar,0.40,0.9820,14.470,0.5933,0.053,0.0180
100,haar,0.50,0.9664,11.797,0.8071,0.053,0.0336
man,haar,0.10,0.9997,31.786,0.0918,0.000,0.0003
man,haar,0.20,0.9977,23.401,0.2410,0.000,0.0023
man,haar,0.30,0.9928,18.412,0.4279,0.000,0.0072
man,haar,0.40,0.9815,14.364,0.6820,0.000,0.0185
man,haar,0.50,0.9649,11.608,0.9367,0.000,0.0351
city,haar,0.10,0.9998,33.518,0.0829,0.000,0.0002
city,haar,0.20,0.9978,23.603,0.2594,0.000,0.0022
city,haar,0.30,0.9932,18.651,0.4588,0.000,0.0068
city,haar,0.40,0.9829,14.698,0.7232,0.000,0.0171
city,haar,0.50,0.9638,11.480,1.0476,0.000,0.0362
read,haar,0.10,0.9998,34.482,0.0723,0.000,0.0002
read,haar,0.20,0.9982,24.531,0.2272,0.000,0.0018
read,haar,0.30,0.9934,18.779,0.4406,0.000,0.0066
read,haar,0.40,0.9815,14.350,0.7337,0.000,0.0185
read,haar,0.50,0.9634,11.439,1.0259,0.000,0.0366
Ġand,haar,0.10,0.9999,35.731,0.0426,0.000,0.0001
Ġand,haar,0.20,0.9989,26.779,0.1193,0.000,0.0011
Ġand,haar,0.30,0.9967,21.816,0.2112,0.000,0.0033
Ġand,haar,0.40,0.9920,17.982,0.3284,0.000,0.0080
Ġand,haar,0.50,0.9832,14.773,0.4752,0.000,0.0168
the,haar,0.10,0.9998,33.426,0.0639,0.000,0.0002
the,haar,0.20,0.9978,23.603,0.1979,0.000,0.0022
the,haar,0.30,0.9933,18.738,0.3465,0.000,0.0067
the,haar,0.40,0.9826,14.627,0.5562,0.000,0.0174
the,haar,0.50,0.9667,11.832,0.7673,0.000,0.0333
it,haar,0.10,0.9997,31.957,0.0863,0.000,0.0003
it,haar,0.20,0.9980,23.938,0.2173,0.000,0.0020
it,haar,0.30,0.9930,18.528,0.4050,0.000,0.0070
it,haar,0.40,0.9823,14.551,0.6402,0.000,0.0177
it,haar,0.50,0.9641,11.517,0.9079,0.000,0.0359
king,haar,0.10,0.9996,30.585,0.1228,0.053,0.0004
king,haar,0.20,0.9974,22.891,0.2977,0.053,0.0026
king,haar,0.30,0.9915,17.693,0.5415,0.053,0.0085
