token,index,energy,entropy,info_score
##anor,27869,9.1614,9.3390,21.6534
##lland,26087,8.5511,9.3181,21.0277
##lika,25421,8.1299,9.2761,20.5147
##adan,26335,7.9659,9.2894,20.3757
##gano,29451,7.8129,9.3465,20.3400
##lho,28061,7.8114,9.3390,20.3221
##oku,21940,7.6785,9.3256,20.1513
##eki,26576,7.6424,9.3328,20.1279
##hani,23573,7.7888,9.2579,20.1220
##vb,26493,7.4993,9.3456,19.9994
##elis,29282,7.5046,9.3424,19.9985
##oit,28100,7.3903,9.3980,19.9903
##alla,25425,7.5192,9.3298,19.9875
##pse,29251,7.4573,9.3540,19.9711
##anto,21634,7.3993,9.3798,19.9615
##khov,25495,7.3512,9.3745,19.8966
##eland,25689,7.4418,9.3231,19.8879
##stov,29473,7.4183,9.3097,19.8334
##jad,27875,7.3151,9.3527,19.8098
##lash,27067,7.2885,9.3646,19.8049
##ieri,21939,7.1781,9.3745,19.7002
##coll,26895,7.1472,9.3800,19.6761
##kshi,27488,7.1996,9.3485,19.6701
##lbert,23373,7.2129,9.3157,19.6162
##jm,24703,7.1467,9.3497,19.6121
##uet,23361,7.1331,9.3563,19.6103
##olt,27914,7.1665,9.3317,19.5970
##rka,22379,7.1749,9.3073,19.5552
##nem,25832,7.1110,9.3362,19.5427
##gart,27378,7.0085,9.3700,19.4943
##bola,24290,6.9402,9.3918,19.4592
##vitt,28656,7.0438,9.3081,19.4065
amman,25703,7.0495,9.2968,19.3895
##litz,24725,6.9424,9.3391,19.3527
##iste,27870,6.7344,9.4480,19.3276
##icon,28524,6.8474,9.3724,19.3088
##dim,22172,6.8289,9.3808,19.3041
##mble,19661,6.7952,9.3647,19.2305
##sul,23722,6.7260,9.3928,19.2044
##sund,25168,6.6890,9.4148,19.2043
##kti,22462,6.7533,9.3709,19.1927
##tura,27431,6.8052,9.3387,19.1892
##sari,22740,6.6846,9.3810,19.1299
##jic,25008,6.7475,9.3384,19.1191
##pani,26569,6.6736,9.3650,19.0838
##mme,20058,6.6911,9.3415,19.0572
##kong,25460,6.6834,9.3438,19.0526
##ngo,16656,6.6738,9.3416,19.0364
lucie,28831,6.7151,9.3092,19.0203
##rchy,29389,6.5279,9.4172,19.0097
##hre,28362,6.5483,9.3949,18.9902
##dara,25329,6.6580,9.3255,18.9844
##lley,25105,6.7014,9.2969,18.9787
820,26667,6.9912,9.1019,18.9167
##bino,21891,6.5218,9.3745,18.9160
##you,29337,6.5206,9.3683,18.9019
##sell,23836,6.5606,9.3391,18.8925
florian,29517,6.6842,9.2559,18.8742
##lma,19145,6.5062,9.3631,18.8735
##pta,22799,6.5389,9.3426,18.8727
##kker,23793,6.6365,9.2822,18.8701
##hiff,25798,6.5462,9.3337,18.8638
##brick,25646,6.4387,9.3929,18.8486
##lston,21540,6.5618,9.3145,18.8442
##ckle,19250,6.4837,9.3377,18.7942
##erry,19826,6.3787,9.3997,18.7862
##anal,27953,6.3730,9.3994,18.7783
##gist,24063,6.3592,9.4039,18.7698
451,28161,6.8147,9.1243,18.7597
##ulio,24825,6.3906,9.3785,18.7590
##bate,20179,6.4053,9.3643,18.7492
##iji,27821,6.4392,9.3348,18.7327
##wai,21547,6.3746,9.3568,18.6954
##hema,28433,6.3356,9.3757,18.6834
##iot,25185,6.2713,9.4172,18.6831
##cao,20808,6.2690,9.4170,18.6797
##ssler,23385,6.3886,9.3376,18.6746
##ood,17139,6.2749,9.4088,18.6710
##aran,20486,6.2616,9.4116,18.6595
##egan,20307,6.2623,9.4093,18.6557
##xin,20303,6.3280,9.3643,18.6510
875,27658,6.7158,9.1194,18.6334
##uter,19901,6.2939,9.3707,18.6200
##rse,22573,6.3228,9.3470,18.6099
##uchi,15217,6.2812,9.3447,18.5520
##otic,20214,6.1967,9.3963,18.5448
##rsa,22381,6.1671,9.4117,18.5364
##cius,25393,6.2400,9.3584,18.5262
##nah,15272,6.1723,9.3950,18.5104
##ining,24002,6.1669,9.3961,18.5054
boca,22765,6.1817,9.3775,18.4880
##scan,29378,6.2095,9.3513,18.4726
329,29567,6.7092,9.0431,18.4698
##uda,14066,6.1824,9.3638,18.4621
##amo,22591,6.2053,9.3456,18.4558
##abia,29039,6.0634,9.4185,18.4126
##mage,26860,6.0937,9.3905,18.3978
980,25195,6.5331,9.0894,18.3544
##oper,25918,6.0133,9.4075,18.3240
##kor,21815,6.0683,9.3692,18.3227
##ffe,16020,6.0277,9.3937,18.3164
##rva,19146,6.0679,9.3613,18.3066
##lding,24573,6.0659,9.3437,18.2695
##oning,13369,5.9190,9.4422,18.2637
##icular,21412,5.9099,9.4390,18.2452
##rien,23144,5.9300,9.4242,18.2440
##church,22743,5.9992,9.3711,18.2344
##bies,20536,5.9258,9.4048,18.2008
417,27519,6.4220,9.0796,18.1996
##erik,27350,5.9021,9.4127,18.1838
##sos,17063,5.9018,9.4073,18.1728
##lford,23211,6.0437,9.2942,18.1435
##bis,18477,5.9277,9.3718,18.1394
##toy,29578,5.9078,9.3814,18.1309
242,22431,6.3005,9.1100,18.1102
##vity,24872,5.7670,9.4701,18.1073
##orus,21694,5.8865,9.3796,18.0985
##hil,19466,5.8915,9.3737,18.0941
##kat,24498,5.8891,9.3752,18.0936
##yme,25219,5.8464,9.3977,18.0786
##amine,19915,5.8759,9.3767,18.0784
##bilis,27965,5.8240,9.4094,18.0703
##uw,25974,5.9030,9.3468,18.0577
##lund,18028,5.8613,9.3644,18.0348
##tad,17713,5.8077,9.4025,18.0345
bangs,28490,5.9387,9.3045,18.0239
##ovo,16059,5.7897,9.3920,17.9896
gael,28151,5.8190,9.3653,17.9788
donetsk,29151,5.8133,9.3691,17.9783
##mere,13759,5.7647,9.4013,17.9725
##ettes,26592,5.8223,9.3482,17.9504
268,25143,6.3556,8.9909,17.9410
273,25371,6.3242,9.0016,17.9239
##encies,15266,5.6646,9.4491,17.9231
##hiro,18334,5.8273,9.3272,17.9169
##dhar,25632,5.7285,9.3941,17.9083
bosch,25936,5.8045,9.3387,17.9078
liechtenstein,26500,5.8177,9.3217,17.8932
##uts,16446,5.7102,9.3903,17.8757
sino,19432,5.7747,9.3396,17.8686
##vati,20203,5.6571,9.4203,17.8579
##vio,25500,5.6985,9.3682,17.8173
##pes,10374,5.6179,9.4263,17.8135
##oop,18589,5.6714,9.3861,17.8132
317,26628,6.2605,8.9795,17.8014
##venor,26806,5.6699,9.3797,17.7989
##nl,20554,5.6665,9.3793,17.7934
tung,27079,5.6864,9.3614,17.7873
323,25392,6.1527,9.0393,17.7848
##lent,16136,5.5943,9.4246,17.7767
##ight,18743,5.6055,9.3965,17.7397
##west,19650,5.6190,9.3749,17.7180
##wer,13777,5.5610,9.4183,17.7172
unsigned,27121,5.6112,9.3689,17.6957
##bourg,20431,5.5651,9.3946,17.6783
##ocks,25384,5.5958,9.3693,17.6745
##spar,27694,5.5063,9.4360,17.6714
heartland,27399,5.6411,9.3299,17.6642
##sdale,15145,5.5361,9.4051,17.6566
chico,22136,5.5975,9.3550,17.6500
##nish,24014,5.4891,9.4302,17.6357
##rite,17625,5.5044,9.4180,17.6350
##rned,21119,5.5125,9.4117,17.6350
